ID,ch,Study Area,AgeClass,Sex,DS,CS,CT
189,1010101010101010,C,Adult,Male,0.151216766,-0.026034126,1.396819263
190,1011000000000000,C,Adult,Female,-0.159628629,-2.256103726,0.137074679
191,1010101011000000,C,Juvenile,Male,-0.25932494,-0.212998309,-0.165523692
192,1010101010110000,C,Juvenile,Female,1.447174518,-2.35657527,-0.549253823
193,1010101010101010,C,Adult,Female,-1.081906323,-0.315287394,-1.429468224
194,1010101010101010,C,Juvenile,Female,1.577252993,-0.065228849,-0.447343813
195,1011000000000000,C,Juvenile,Male,0.340873933,2.533678766,-2.327629241
196,1010101010101010,C,Juvenile,Male,0.982266919,-0.116522465,-0.468013596
197,1011000000000000,C,Juvenile,Female,-0.181805779,-0.581572899,-1.75116415
198,1010101010101010,C,Juvenile,Male,-1.065967467,0.572124366,-0.226367729
199,1010101100000000,C,Juvenile,Male,0.149695024,-1.117588582,-1.213484061
200,1010101011000000,C,Juvenile,Female,-0.381730353,1.286225676,0.604958054
201,1010101010101010,C,Adult,Female,0.69719707,-0.140472491,-0.422604389
202,1010101011000000,C,Adult,Female,-1.10616374,-0.094151967,-1.048635663
203,1010101011000000,C,Juvenile,Male,-1.521656251,-0.007732287,0.219676449
204,1100000000000000,C,Juvenile,Female,1.296833732,0.604468141,-1.34101383
205,1011000000000000,C,Juvenile,Male,0.17020124,-1.167436073,0.053701066
206,1100000000000000,C,Adult,Female,1.60099964,-0.659276153,-0.060681386
207,1010101010101010,C,Adult,Female,-0.704953753,-0.054834052,-1.641396629
208,1011000000000000,C,Juvenile,Female,0.645676083,-2.068252442,1.490718114
209,1010110000000000,C,Juvenile,Female,1.278903703,-0.522313428,1.299156109
210,1010101010101010,C,Juvenile,Female,0.041968039,-1.03556063,-1.410391656
211,1010110000000000,C,Juvenile,Male,-0.734494169,1.092802153,0.309378946
212,1011000000000000,C,Juvenile,Female,-0.796003442,1.816583883,-0.139480069
213,1011000000000000,C,Adult,Male,0.418288302,1.153506439,-0.042440901
214,1010110000000000,C,Adult,Female,-0.949259775,-1.056870703,-1.127218026
215,1010101010101010,C,Adult,Female,0.44255314,1.281173949,-1.535059357
216,1010101011000000,C,Juvenile,Male,-0.653060255,-0.630446629,1.227437453
217,1010101011000000,C,Juvenile,Male,-2.133404512,0.055253893,-0.021233141
218,1010101010101010,C,Adult,Male,0.877145314,-0.303816969,0.195090331
219,1010101010101100,C,Juvenile,Female,-0.748869336,-0.854323456,-0.569080648
220,1010101011000000,C,Adult,Female,0.726455375,-0.478458378,0.351697267
221,1011000000000000,C,Juvenile,Male,-0.535863518,1.245076493,0.482784116
222,1010101010101100,C,Adult,Male,-0.467087078,0.026950792,-0.325054988
223,1010101011000000,C,Adult,Male,0.037045237,1.095677708,0.922560821
224,1010101010101011,C,Juvenile,Female,0.043441249,1.802775936,-0.461439913
225,1010101010101010,C,Adult,Female,-0.20115202,-0.065624516,1.24081948
226,1011000000000000,C,Juvenile,Female,-0.101153532,1.521212881,0.12554882
227,1010101011000000,C,Juvenile,Male,-1.102533773,0.756432351,0.738455043
228,1010101010101010,C,Juvenile,Male,1.603036594,0.310716234,0.292049452
229,1010101010101011,C,Juvenile,Male,-0.480768885,0.245051678,0.098016809
230,1010101010101010,C,Adult,Female,1.831531785,0.21741909,1.381285795
231,1010101100000000,C,Adult,Male,1.859516662,-1.242938354,-0.922734552
232,1010101010101010,C,Juvenile,Female,0.221663231,-1.75917336,-2.29594445
233,1100000000000000,C,Juvenile,Female,-0.073572942,-1.577449032,1.501915733
234,1010101010101010,C,Adult,Female,-2.043286097,0.100381535,0.509927674
235,1010101010101010,C,Adult,Female,0.522831948,-0.491203031,-0.195877225
236,1010101010101010,C,Juvenile,Female,0.208683323,0.303850119,-0.53124606
237,1010101010101010,C,Juvenile,Female,-0.867146379,1.995828911,-1.598338675
238,1010101010101010,C,Juvenile,Male,0.790588025,0.616270017,-0.529218518
239,1010101010101100,C,Adult,Male,0.155239634,-2.451257856,-1.53150789
240,1010101010110000,C,Juvenile,Female,-1.002521736,-1.622130809,-0.753069672
241,1010101010110000,C,Juvenile,Female,0.528153295,0.734833603,0.655514875
242,1010101010101010,C,Adult,Male,-1.620667254,0.04953103,0.625503085
243,1010101010101010,C,Adult,Male,0.789151623,-0.887107972,-0.286941199
244,1010101010110000,C,Juvenile,Female,1.296502344,-0.795791664,0.962809892
245,1010101010101011,C,Juvenile,Male,-1.191334435,-0.012469872,-0.957225222
246,1010101011000000,C,Adult,Female,-0.014395224,-1.081681481,-0.687708846
247,1010101011000000,C,Juvenile,Male,1.648296724,0.132333181,-0.146770572
248,1010101010101011,C,Adult,Male,-0.628883827,-0.186790017,-1.372227088
249,1010101011000000,C,Adult,Female,-0.050746841,-1.380965259,1.56400442
250,1010101011000000,C,Adult,Female,-0.884079431,-1.18073119,0.035982593
251,1010101010101100,C,Juvenile,Male,0.451653828,1.378737172,0.658142218
252,1010101010110000,C,Adult,Male,0.674085258,-1.037776195,-1.440252623
253,1010101010101011,C,Adult,Female,0.687218255,0.278517209,-0.322342644
254,1010101010101010,C,Juvenile,Male,0.716059349,-0.328328843,-1.749515714
255,1010101100000000,C,Juvenile,Male,-1.129758443,1.155881693,0.656805074
256,1010101010110000,C,Juvenile,Female,-0.919190163,-1.733513491,0.85986691
257,1010101010101010,C,Juvenile,Female,-0.461161125,0.036350387,-1.262800035
258,1010101010110000,C,Juvenile,Male,0.667535517,0.14830283,0.259011694
259,1010101010101010,C,Juvenile,Male,0.247934618,1.231156908,0.831080115
260,1010101010110000,C,Adult,Male,1.364712734,0.905481631,-0.040756712
261,1010101100000000,C,Adult,Female,-0.240439482,-1.11012736,-0.964089876
262,1011000000000000,C,Juvenile,Female,-0.111920535,-0.660330843,-0.270380089
263,1010101010101010,C,Adult,Male,0.517008938,-0.829951269,0.792618431
264,1100000000000000,C,Juvenile,Male,-1.960147193,0.243653764,1.34848692
265,1010101010101010,C,Juvenile,Female,-0.115573472,-1.127713153,-0.435234464
266,1010101010101010,C,Adult,Male,-0.777181083,-0.182107818,-0.894135513
267,1100000000000000,C,Juvenile,Female,0.047338632,0.511467187,-0.401140998
268,1010101010101010,C,Juvenile,Male,1.214083936,0.138993822,0.128534616
269,1010101010101100,C,Adult,Female,-0.30971177,0.363430412,-0.166270155
270,1011000000000000,C,Juvenile,Male,-0.025269623,-0.912622181,0.767008692
271,1010101010101100,C,Juvenile,Female,1.047163001,0.508543939,0.168395559
272,1100000000000000,C,Juvenile,Male,0.241665757,-0.576837094,-0.338942504
273,1010101010101010,C,Juvenile,Male,2.210463023,1.860481024,-1.072127301
274,1011000000000000,C,Adult,Male,1.211965228,-0.150164196,0.535286861
275,1100000000000000,C,Adult,Male,0.555227467,-1.642408706,0.537633188
276,1010101010101011,C,Juvenile,Male,1.299669081,1.400801201,0.395686898
277,1010101010101010,C,Adult,Female,0.847552495,-0.49361827,-2.106387316
278,1010101010110000,C,Juvenile,Female,-0.224597269,-0.058017611,-0.545713053
279,1010101010101010,C,Adult,Female,0.471639619,1.156598647,-0.694730941
